text,pos_tagged
웹툰 제페토 뮤직 다양한 콘텐츠 사업을 통해서도 글로벌 사업 기반을 확장하고 있는 ICT 기업입니다,"[('웹툰', 'Noun'), ('제페토', 'Noun'), ('뮤직', 'Noun'), ('다양한', 'Adjective'), ('콘텐츠', 'Noun'), ('사업', 'Noun'), ('을', 'Josa'), ('통', 'Noun'), ('해서도', 'Verb'), ('글로벌', 'Noun'), ('사업', 'Noun'), ('기반', 'Noun'), ('을', 'Josa'), ('확장', 'Noun'), ('하고', 'Josa'), ('있는', 'Adjective'), ('ICT', 'Alpha'), ('기업', 'Noun'), ('입니다', 'Adjective')]"
네이버는 전세계  명이 사용하는 모바일 메신저 LINE을 개발하여  미국과 일본에 동시 상장한 바 있으며  부터는 일본의 Z홀딩스와 경영 통합을 완료하며 일본 아시아 사업에 더욱 박차를 가하고 있습니다,"[('네이버', 'Noun'), ('는', 'Josa'), ('전세계', 'Noun'), ('2억', 'Number'), ('명', 'Noun'), ('이', 'Josa'), ('사용', 'Noun'), ('하는', 'Verb'), ('모바일', 'Noun'), ('메신저', 'Noun'), ('LINE', 'Alpha'), ('을', 'Josa'), ('개발', 'Noun'), ('하여', 'Verb'), ('2016년', 'Number'), ('미국', 'Noun'), ('과', 'Josa'), ('일본', 'Noun'), ('에', 'Josa'), ('동시', 'Noun'), ('상장', 'Noun'), ('한', 'Josa'), ('바', 'Noun'), ('있으며', 'Adjective'), ('2021년', 'Number'), ('3월', 'Number'), ('부터는', 'Foreign'), ('일본', 'Noun'), ('의', 'Josa'), ('Z', 'Alpha'), ('홀딩스', 'Noun'), ('와', 'Josa'), ('경영', 'Noun'), ('통합', 'Noun'), ('을', 'Josa'), ('완료', 'Noun'), ('하며', 'Verb'), ('일본', 'Noun'), ('아시아', 'Noun'), ('사업', 'Noun'), ('에', 'Josa'), ('더욱', 'Noun'), ('박차', 'Noun'), ('를', 'Josa'), ('가하고', 'Verb'), ('있습니다', 'Adjective')]"
네이버는 인공지능 로보틱스 모빌리티 미래 기술에 대한 지속적인 연구개발을 통해 기술플랫폼의 변화와 혁신을 추구하며 세계 국의 수많은 이용자와 다양한 파트너들이 성장할 있도록 노력하겠습니다,"[('네이버', 'Noun'), ('는', 'Josa'), ('인공', 'Noun'), ('지능', 'Noun'), ('로보틱스', 'Noun'), ('모빌리티', 'Noun'), ('미래', 'Noun'), ('기술', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('지속', 'Noun'), ('적', 'Suffix'), ('인', 'Josa'), ('연구개발', 'Noun'), ('을', 'Josa'), ('통해', 'Noun'), ('기술', 'Noun'), ('플랫폼', 'Noun'), ('의', 'Josa'), ('변화', 'Noun'), ('와', 'Josa'), ('혁신', 'Noun'), ('을', 'Josa'), ('추구', 'Noun'), ('하며', 'Verb'), ('세계', 'Noun'), ('국', 'Noun'), ('의', 'Josa'), ('수많은', 'Adjective'), ('이용자', 'Noun'), ('와', 'Josa'), ('다양한', 'Adjective'), ('파트너', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('성장할', 'Adjective'), ('있도록', 'Adjective'), ('노력', 'Noun'), ('하겠습니다', 'Verb')]"
신용평가에 사항당사는 제 제 무보증사채 발행 등과 관련하여 아래와 신용평가 전문기관으로부터 신용평가를 받았습니다,"[('신용', 'Noun'), ('평가', 'Noun'), ('에', 'Josa'), ('사항', 'Noun'), ('당사', 'Noun'), ('는', 'Josa'), ('제', 'Noun'), ('41회', 'Number'), ('제', 'Noun'), ('42회', 'Number'), ('무', 'Noun'), ('보증', 'Noun'), ('사채', 'Noun'), ('발행', 'Noun'), ('등', 'Noun'), ('과', 'Josa'), ('관련', 'Noun'), ('하여', 'Verb'), ('아래', 'Noun'), ('와', 'Josa'), ('신용', 'Noun'), ('평가', 'Noun'), ('전', 'Modifier'), ('문', 'Modifier'), ('기관', 'Noun'), ('으로부터', 'Josa'), ('신용', 'Noun'), ('평가', 'Noun'), ('를', 'Josa'), ('받았습니다', 'Verb')]"
평가일신용평가전문기관평가대상회사채 신용등급회사채 등급전망유효기간  NICE신용평가제 제 무보증사채AA안정적Stable  당해채권만기일  한국신용평가제 제 무보증사채AA안정적Stable  당해채권만기일  MoodysSenior Unsecured Sustainability NotesA안정적Stable 월 당해채권만기일  SPSenior Unsecured Sustainability NotesA안정적Stable 월 당해채권만기일 한국신용평가 한국신용평가의 등급은 총 0개 등급으로 AAA AA A BBBBB B CCC CCC D로 나타내어지며 상기 등급 AA부터 B등급까지는   를부가하여 동일 등급 내에서의 우열을 나타냅니다,"[('평가', 'Noun'), ('일', 'Modifier'), ('신', 'Modifier'), ('용평', 'Noun'), ('가', 'Josa'), ('전문', 'Noun'), ('기', 'Modifier'), ('관평', 'Noun'), ('가', 'Josa'), ('대상', 'Noun'), ('회사채', 'Noun'), ('신용등급', 'Noun'), ('회사채', 'Noun'), ('등급', 'Noun'), ('전망', 'Noun'), ('유효', 'Noun'), ('기간', 'Noun'), ('2021년', 'Number'), ('02월', 'Number'), ('05일', 'Number'), ('NICE', 'Alpha'), ('신', 'Modifier'), ('용평', 'Noun'), ('가제', 'Noun'), ('41회', 'Number'), ('제', 'Noun'), ('42회', 'Number'), ('무', 'Noun'), ('보증', 'Noun'), ('사채', 'Noun'), ('AA', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('2024년', 'Number'), ('02월', 'Number'), ('25일', 'Number'), ('당해채권만기일', 'Foreign'), ('2021년', 'Number'), ('02월', 'Number'), ('05일', 'Number'), ('한국신용평가제', 'Foreign'), ('41회', 'Number'), ('제', 'Noun'), ('42회', 'Number'), ('무', 'Noun'), ('보증', 'Noun'), ('사채', 'Noun'), ('AA', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('2026년', 'Number'), ('02월', 'Number'), ('25일', 'Number'), ('당해채권만기일', 'Foreign'), ('2021년', 'Number'), ('03월', 'Number'), ('17일', 'Number'), ('MoodysSenior', 'Alpha'), ('Unsecured', 'Alpha'), ('Sustainability', 'Alpha'), ('NotesA', 'Alpha'), ('3', 'Number'), ('안정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('2026년', 'Number'), ('3월', 'Number'), ('29일', 'Number'), ('당해채권만기일', 'Foreign'), ('2021년', 'Number'), ('03월', 'Number'), ('17일', 'Number'), ('SPSenior', 'Alpha'), ('Unsecured', 'Alpha'), ('Sustainability', 'Alpha'), ('NotesA', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('2026년', 'Number'), ('3월', 'Number'), ('29일', 'Number'), ('당해채권만기일', 'Foreign'), ('1', 'Number'), ('한국', 'Noun'), ('신용', 'Noun'), ('평가', 'Noun'), ('한국', 'Noun'), ('신용', 'Noun'), ('평가', 'Noun'), ('의', 'Josa'), ('등급', 'Noun'), ('은', 'Josa'), ('총', 'Noun'), ('10', 'Number'), ('개', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('AAA', 'Alpha'), ('AA', 'Alpha'), ('A', 'Alpha'), ('BBBBB', 'Alpha'), ('B', 'Alpha'), ('CCC', 'Alpha'), ('CCC', 'Alpha'), ('D', 'Alpha'), ('로', 'Noun'), ('나타내어지며', 'Verb'), ('상기', 'Noun'), ('등급', 'Noun'), ('AA', 'Alpha'), ('부터', 'Noun'), ('B', 'Alpha'), ('등급', 'Noun'), ('까지는', 'Josa'), ('를', 'Noun'), ('부가', 'Noun'), ('하', 'Suffix'), ('여', 'Josa'), ('동일', 'Noun'), ('등급', 'Noun'), ('내', 'Noun'), ('에서의', 'Josa'), ('우열', 'Noun'), ('을', 'Josa'), ('나타냅니다', 'Verb')]"
등급전망은 중기적인 관점약 에서 신용등급의 방향성에 대한 의견으로 Positive긍정적 Stable안정적 Negative부정적 Developing유동적 단계가 있으며 Positive긍적적는 중기적으로 신용등급이 상향 조정될 가능성이 있다고 예측되는 경우입니다,"[('등급', 'Noun'), ('전망', 'Noun'), ('은', 'Josa'), ('중', 'Noun'), ('기적', 'Noun'), ('인', 'Josa'), ('관점', 'Noun'), ('약', 'Noun'), ('2년', 'Number'), ('에서', 'Foreign'), ('신용등급', 'Noun'), ('의', 'Josa'), ('방향성', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('의견', 'Noun'), ('으로', 'Josa'), ('Positive', 'Alpha'), ('긍정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Negative', 'Alpha'), ('부정', 'Noun'), ('적', 'Suffix'), ('Developing', 'Alpha'), ('유동', 'Noun'), ('적', 'Suffix'), ('4', 'Number'), ('단계', 'Noun'), ('가', 'Josa'), ('있으며', 'Adjective'), ('Positive', 'Alpha'), ('긍', 'Noun'), ('적', 'Suffix'), ('적는', 'Verb'), ('중', 'Noun'), ('기적', 'Noun'), ('으로', 'Josa'), ('신용등급', 'Noun'), ('이', 'Josa'), ('상향', 'Noun'), ('조정', 'Noun'), ('될', 'Verb'), ('가능성', 'Noun'), ('이', 'Josa'), ('있다고', 'Adjective'), ('예측', 'Noun'), ('되는', 'Verb'), ('경우', 'Noun'), ('입니다', 'Adjective')]"
 NICE신용평가 NICE신용평가의 회사채 신용등급은 총 개 등급으로 AAAAA A BBB BB B CCC CC C D 나타내어지며 상기 등급 AA등급부터 CCC등급까지는 등급내의 상대적인 우열에   기호가 첨부됩니다,"[('2', 'Number'), ('NICE', 'Alpha'), ('신용', 'Noun'), ('평가', 'Noun'), ('NICE', 'Alpha'), ('신용', 'Noun'), ('평가', 'Noun'), ('의', 'Josa'), ('회사채', 'Noun'), ('신용등급', 'Noun'), ('은', 'Josa'), ('총', 'Noun'), ('10', 'Number'), ('개', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('AAAAA', 'Alpha'), ('A', 'Alpha'), ('BBB', 'Alpha'), ('BB', 'Alpha'), ('B', 'Alpha'), ('CCC', 'Alpha'), ('CC', 'Alpha'), ('C', 'Alpha'), ('D', 'Alpha'), ('나타내어지며', 'Verb'), ('상기', 'Noun'), ('등급', 'Noun'), ('AA', 'Alpha'), ('등급', 'Noun'), ('부터', 'Josa'), ('CCC', 'Alpha'), ('등급', 'Noun'), ('까지는', 'Josa'), ('등급', 'Noun'), ('내의', 'Noun'), ('상대', 'Noun'), ('적', 'Suffix'), ('인', 'Josa'), ('우열', 'Noun'), ('에', 'Josa'), ('기호', 'Noun'), ('가', 'Josa'), ('첨부', 'Noun'), ('됩니다', 'Verb')]"
또한 등급전망Rating Outlook은 등급의 방향성에 대한 NICE신용평가의 기호로 Positive긍정적 Stable안정적 Negative부정적 Developing유동적 단계가 있으며 Positive긍정적는 중기적으로 등급의 상향 가능성이 있음을 의미합니다,"[('또한', 'Noun'), ('등급', 'Noun'), ('전망', 'Noun'), ('Rating', 'Alpha'), ('Outlook', 'Alpha'), ('은', 'Noun'), ('등급', 'Noun'), ('의', 'Josa'), ('방향성', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('NICE', 'Alpha'), ('신용', 'Noun'), ('평가', 'Noun'), ('의', 'Josa'), ('기호', 'Noun'), ('로', 'Josa'), ('Positive', 'Alpha'), ('긍정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Negative', 'Alpha'), ('부정', 'Noun'), ('적', 'Suffix'), ('Developing', 'Alpha'), ('유동', 'Noun'), ('적', 'Suffix'), ('4', 'Number'), ('단계', 'Noun'), ('가', 'Josa'), ('있으며', 'Adjective'), ('Positive', 'Alpha'), ('긍정', 'Noun'), ('적', 'Suffix'), ('는', 'Josa'), ('중', 'Noun'), ('기적', 'Noun'), ('으로', 'Josa'), ('등급', 'Noun'), ('의', 'Josa'), ('상향', 'Noun'), ('가능성', 'Noun'), ('이', 'Josa'), ('있', 'Adjective'), ('음', 'Noun'), ('을', 'Josa'), ('의미', 'Noun'), ('합니다', 'Verb')]"
 Moodys의 등급은 총 개로 등급으로 Aaa Aa A Baa Ba B Caa Ca C로 나타내어지며 상기 등급 Aaa부터 Baa등급까지는 투자적격 등급으로 Ba이하는 투자 부적격 등급으로 상정합니다,"[('3', 'Number'), ('Moodys', 'Alpha'), ('의', 'Noun'), ('등급', 'Noun'), ('은', 'Josa'), ('총', 'Noun'), ('9', 'Number'), ('개', 'Noun'), ('로', 'Josa'), ('등급', 'Noun'), ('으로', 'Josa'), ('Aaa', 'Alpha'), ('Aa', 'Alpha'), ('A', 'Alpha'), ('Baa', 'Alpha'), ('Ba', 'Alpha'), ('B', 'Alpha'), ('Caa', 'Alpha'), ('Ca', 'Alpha'), ('C', 'Alpha'), ('로', 'Noun'), ('나타내어지며', 'Verb'), ('상기', 'Noun'), ('등급', 'Noun'), ('Aaa', 'Alpha'), ('부터', 'Noun'), ('Baa', 'Alpha'), ('등급', 'Noun'), ('까지는', 'Josa'), ('투자', 'Noun'), ('적', 'Suffix'), ('격', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('Ba', 'Alpha'), ('이하', 'Noun'), ('는', 'Josa'), ('투자', 'Noun'), ('부적', 'Noun'), ('격', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('상', 'Noun'), ('정합', 'Noun'), ('니', 'Noun'), ('다', 'Josa')]"
동일 등급 내에서 으로 우열을 표시하며 신용등급의 방향성에 대한 의견으로는 Positive긍정적 Stable안정적 Negative부정적 단계가 있습니다,"[('동일', 'Noun'), ('등급', 'Noun'), ('내', 'Noun'), ('에서', 'Josa'), ('123', 'Number'), ('으로', 'Josa'), ('우열', 'Noun'), ('을', 'Josa'), ('표시', 'Noun'), ('하며', 'Verb'), ('신용등급', 'Noun'), ('의', 'Josa'), ('방향성', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('의견', 'Noun'), ('으로는', 'Josa'), ('Positive', 'Alpha'), ('긍정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Negative', 'Alpha'), ('부정', 'Noun'), ('적', 'Suffix'), ('3', 'Number'), ('단계', 'Noun'), ('가', 'Josa'), ('있습니다', 'Adjective')]"
 SP의 등급은 총 개 등급으로 AAA AA A BBB BB B CCC CCC D로 나타내어지며 상기 등급 AAA부터 BBB등급까지는 투자적격 등급으로 BB이하는 투자 부적격 등급으로 상정합니다,"[('4', 'Number'), ('SP', 'Alpha'), ('의', 'Noun'), ('등급', 'Noun'), ('은', 'Josa'), ('총', 'Noun'), ('10', 'Number'), ('개', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('AAA', 'Alpha'), ('AA', 'Alpha'), ('A', 'Alpha'), ('BBB', 'Alpha'), ('BB', 'Alpha'), ('B', 'Alpha'), ('CCC', 'Alpha'), ('CCC', 'Alpha'), ('D', 'Alpha'), ('로', 'Noun'), ('나타내어지며', 'Verb'), ('상기', 'Noun'), ('등급', 'Noun'), ('AAA', 'Alpha'), ('부터', 'Noun'), ('BBB', 'Alpha'), ('등급', 'Noun'), ('까지는', 'Josa'), ('투자', 'Noun'), ('적', 'Suffix'), ('격', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('BB', 'Alpha'), ('이하', 'Noun'), ('는', 'Josa'), ('투자', 'Noun'), ('부적', 'Noun'), ('격', 'Noun'), ('등급', 'Noun'), ('으로', 'Josa'), ('상', 'Noun'), ('정합', 'Noun'), ('니', 'Noun'), ('다', 'Josa')]"
동일 등급 내에서   우열을 표시하며 신용등급의 방향성에 대한 의견으로는 Positive긍정적 Stable안정적 Negative부정적 단계가 있습니다,"[('동일', 'Noun'), ('등급', 'Noun'), ('내', 'Noun'), ('에서', 'Josa'), ('우열', 'Noun'), ('을', 'Josa'), ('표시', 'Noun'), ('하며', 'Verb'), ('신용등급', 'Noun'), ('의', 'Josa'), ('방향성', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('의견', 'Noun'), ('으로는', 'Josa'), ('Positive', 'Alpha'), ('긍정', 'Noun'), ('적', 'Suffix'), ('Stable', 'Alpha'), ('안정', 'Noun'), ('적', 'Suffix'), ('Negative', 'Alpha'), ('부정', 'Noun'), ('적', 'Suffix'), ('3', 'Number'), ('단계', 'Noun'), ('가', 'Josa'), ('있습니다', 'Adjective')]"
